timestamp,type
5.014882,keydown
5.0251392,keyup
5.2296564,keydown
5.2400221,keyup
5.4463331,keydown
5.4567615,keyup
5.6646617,keydown
5.6749338,keyup
5.8810617,keydown
5.8913116,keyup
6.096022,keydown
6.1062985,keyup
6.3131297,keydown
6.3234269,keyup
6.5323094,keydown
6.5427378,keyup
6.7481641,keydown
6.7584879,keyup
6.965226,keydown
6.9755461,keyup
7.1805014,keydown
7.1908899,keyup
7.3973192,keydown
7.407671,keyup
7.6141607,keydown
7.6245462,keyup
7.8340259,keydown
7.8443844,keyup
8.0494533,keydown
8.0597889,keyup
8.2676577,keydown
8.278034,keyup
8.4855074,keydown
8.495937,keyup
8.7032955,keydown
8.7136829,keyup
8.9188053,keydown
8.9291063,keyup
9.1361724,keydown
9.1465168,keyup
9.3544367,keydown
9.3647562,keyup
9.5715905,keydown
9.5819932,keyup
9.7869951,keydown
9.7972571,keyup
10.0028548,keydown
10.013199,keyup
10.218643,keydown
10.2288997,keyup
10.435878,keydown
10.4462984,keyup
10.6518127,keydown
10.6622085,keyup
10.8686366,keydown
10.8789969,keyup
11.0844367,keydown
11.0948108,keyup
11.3006267,keydown
11.310972,keyup
11.5170922,keydown
11.5274178,keyup
11.7330519,keydown
11.7434017,keyup
11.9510916,keydown
11.961530400000001,keyup
12.1689625,keydown
12.1793069,keyup
12.3851332,keydown
12.3955202,keyup
12.6030489,keydown
12.6133766,keyup
12.8199206,keydown
12.8303378,keyup
13.0361431,keydown
13.0472678,keyup
13.2526882,keydown
13.2630437,keyup
13.469384699999999,keydown
13.4797209,keyup
13.6837023,keydown
13.6939223,keyup
13.9007144,keydown
13.9109153,keyup
14.1187023,keydown
14.1290185,keyup
14.3375975,keydown
14.347876,keyup
14.5543534,keydown
14.564675,keyup
14.771469100000001,keydown
14.7818813,keyup
14.9873716,keydown
14.9977639,keyup
15.2056456,keydown
15.2160221,keyup
15.4225828,keydown
15.4329186,keyup
15.6388113,keydown
15.6489948,keyup
15.8576452,keydown
15.8679561,keyup
16.0750866,keydown
16.085416,keyup
16.2923789,keydown
16.3027283,keyup
16.5076237,keydown
16.5179615,keyup
16.7248925,keydown
16.735219700000002,keyup
16.9420133,keydown
16.9524141,keyup
17.1610068,keydown
17.171332,keyup
17.3787853,keydown
17.3890475,keyup
17.5954299,keydown
17.6057291,keyup
17.8133003,keydown
17.8236662,keyup
18.0285911,keydown
18.0389064,keyup
18.2462395,keydown
18.2566014,keyup
18.464869,keydown
18.475129,keyup
18.6826104,keydown
18.6929637,keyup
18.8997002,keydown
18.9099826,keyup
19.1170637,keydown
19.1274177,keyup
19.3335184,keydown
19.3439318,keyup
19.5504722,keydown
19.5608146,keyup
19.7659705,keydown
19.7763645,keyup
19.9836213,keydown
19.9940769,keyup
20.2007846,keydown
20.2111197,keyup
20.4173855,keydown
20.4277282,keyup
20.6339373,keydown
20.6443304,keyup
20.8488681,keydown
20.8591841,keyup
21.065325,keydown
21.0755819,keyup
21.2817986,keydown
21.2921916,keyup
21.4989484,keydown
21.5091861,keyup
21.7174719,keydown
21.7278311,keyup
21.9354515,keydown
21.9457487,keyup
22.1521226,keydown
22.1624767,keyup
22.3697753,keydown
22.3800822,keyup
22.5861719,keydown
22.5965639,keyup
22.8016049,keydown
22.8119042,keyup
23.0188137,keydown
23.029251,keyup
23.2333842,keydown
23.2437052,keyup
23.4511795,keydown
23.4616165,keyup
23.667457,keydown
23.677857500000002,keyup
23.8846692,keydown
23.8949938,keyup
24.1013398,keydown
24.1117508,keyup
24.3173707,keydown
24.3276946,keyup
24.5355178,keydown
24.5460393,keyup
24.7526176,keydown
24.7629231,keyup
24.97001,keydown
24.9804531,keyup
25.1846507,keydown
25.1950461,keyup
25.4025421,keydown
25.4127744,keyup
25.6233293,keydown
25.6336773,keyup
25.8395117,keydown
25.8498682,keyup
26.0598973,keydown
26.0700796,keyup
26.2769386,keydown
26.2872775,keyup
26.4927376,keydown
26.5030515,keyup
